match_id,teams,gender,time,numeric_time,half,action,number,team,goalkeeper,opponent_goalkeeper,assist_number,goal_number,shot_number,goal,shot_speed,in_goal_position,shot_position,post,saved,vertical_goal_position,horizontal_goal_position,causes_7m_number,receives_7m_number,turnover,technical_foul,steal,suspension,is_home,number_suspended,no_goalkeeper,number_court_players,possession,number_of_possession,start_of_possession,end_of_possession,score,lead,possession_length
1,NOR - BRA,M,0:00,0,1,BERGERUD T Goalkeeper,30,NOR,30,62,,,,0,,,,,,,,,,,,,,TRUE,0,,,NOR,1,,,0 - 0,0,
1,NOR - BRA,M,0:00,0,1,VIAL TERCARIOL L Goalkeeper,62,BRA,62,30,,,,0,,,,,,,,,,,,,,FALSE,0,,,NOR,1,,,0 - 0,0,
1,NOR - BRA,M,0:43,43,1,O'SULLIVAN C Turnover (FB),24,NOR,30,62,,,,0,,,,,,,,,,24,,,,TRUE,0,0,6,NOR,1,0:00,0:43,0 - 0,0,43
1,NOR - BRA,M,0:43,43,1,LANGARO H Turnover,37,BRA,62,30,,,,0,,,,,,,,,,37,,,,FALSE,0,0,6,BRA,2,0:43,0:43,0 - 0,0,0
1,NOR - BRA,M,0:43,43,1,SILVA JP Steal,4,BRA,62,30,,,,0,,,,,,,,,,,,4,,FALSE,0,0,6,NOR,3,0:43,0:43,0 - 0,0,0
1,NOR - BRA,M,0:55,55,1,O'SULLIVAN C 7m caused,24,NOR,30,62,,,,0,,,,,,,,24,,,,,,TRUE,0,0,6,BRA,4,0:43,1:11,0 - 0,0,28
1,NOR - BRA,M,0:55,55,1,RODRIGUES G 7m received,95,BRA,62,30,,,,0,,,,,,,,,95,,,,,FALSE,0,0,6,BRA,4,0:43,1:11,0 - 0,0,28
1,NOR - BRA,M,1:11,71,1,BORGES F Penalty shot saved bottom centre,18,BRA,62,30,,,18,0,,bottom centre,Penalty,,1,bottom,centre,,,,,,,FALSE,0,0,6,BRA,4,0:43,1:11,0 - 0,0,28
1,NOR - BRA,M,1:54,114,1,REINKIND H Shot right 6m saved bottom left,27,NOR,30,62,,,27,0,,bottom left,right 6m,,1,bottom,left,,,,,,,TRUE,0,0,6,NOR,5,1:11,3:04,0 - 0,0,113
1,NOR - BRA,M,3:04,184,1,SAGOSEN S Shot left 9m saved bottom left,5,NOR,30,62,,,5,0,,bottom left,left 9m,,1,bottom,left,,,,,,,TRUE,0,0,6,NOR,5,1:11,3:04,0 - 0,0,113
1,NOR - BRA,M,4:37,277,1,LANGARO H Shot centre 9m saved bottom left,37,BRA,62,30,,,37,0,,bottom left,centre 9m,,1,bottom,left,,,,,,,FALSE,0,0,6,BRA,6,3:04,4:37,0 - 0,0,93
1,NOR - BRA,M,4:49,289,1,JOENDAL M Shot left wing post,17,NOR,30,62,,,17,0,,post,left wing,1,,,,,,,,,,TRUE,0,0,6,NOR,7,4:37,4:49,0 - 0,0,12
1,NOR - BRA,M,5:02,302,1,TEIXEIRA V Goal centre 6m bottom right (4 SILVA JP),25,BRA,62,30,4,25,,1,,bottom right,centre 6m,,,bottom,right,,,,,,,FALSE,0,0,6,BRA,8,4:49,5:02,0 - 1,-1,13
1,NOR - BRA,M,5:25,325,1,BJOERNSEN K Goal right wing bottom centre (27 REINKIND H),19,NOR,30,62,27,19,,1,,bottom centre,right wing,,,bottom,centre,,,,,,,TRUE,0,0,6,NOR,9,5:02,5:25,1 - 1,0,23
1,NOR - BRA,M,5:34,334,1,PONCIANO T Shot centre 9m saved middle left,35,BRA,62,30,,,35,0,,middle left,centre 9m,,1,middle,left,,,,,,,FALSE,0,0,6,BRA,10,5:25,5:34,1 - 1,0,9
1,NOR - BRA,M,5:45,345,1,GULLERUD M Shot centre 6m post,21,NOR,30,62,,,21,0,,post,centre 6m,1,,,,,,,,,,TRUE,0,0,6,NOR,11,5:34,5:45,1 - 1,0,11
1,NOR - BRA,M,6:36,396,1,TEIXEIRA V Goal centre 6m middle right (95 RODRIGUES G),25,BRA,62,30,95,25,,1,,middle right,centre 6m,,,middle,right,,,,,,,FALSE,0,0,6,BRA,12,5:45,6:36,1 - 2,-1,51
1,NOR - BRA,M,6:52,412,1,BORGES F 2-minutes suspension,18,BRA,62,30,,,,0,,,,,,,,,,,,,18,FALSE,0,0,6,BRA,12,5:45,6:36,1 - 2,-1,51
1,NOR - BRA,M,7:04,424,1,SAGOSEN S Shot centre 9m saved bottom left,5,NOR,30,62,,,5,0,,bottom left,centre 9m,,1,bottom,left,,,,,,,TRUE,0,0,6,NOR,13,6:36,7:04,1 - 2,-1,28
1,NOR - BRA,M,7:25,445,1,TORRIANI Gfor 62 VIAL TERCARIOL L Empty goal,5,BRA,Empty goal,30,,,,0,,,,,,,,,,,,,,FALSE,-1,1,6,NOR,13,6:36,7:04,1 - 2,-1,28
1,NOR - BRA,M,7:50,470,1,VIAL TERCARIOL Lfor 5 TORRIANI G Goalkeeper back,62,BRA,62,30,,,,0,,,,,,,,,,,,,,FALSE,-1,0,5,NOR,13,6:36,7:04,1 - 2,-1,28
1,NOR - BRA,M,7:50,470,1,RODRIGUES G Goal centre 9m top right,95,BRA,62,30,,95,,1,,top right,centre 9m,,,top,right,,,,,,,FALSE,-1,0,5,BRA,14,7:04,7:50,1 - 3,-2,46
1,NOR - BRA,M,8:21,501,1,SAGOSEN S Turnover,5,NOR,30,62,,,,0,,,,,,,,,,5,,,,TRUE,0,0,6,NOR,15,7:50,8:21,1 - 3,-2,31
1,NOR - BRA,M,8:27,507,1,CHIUFFA F Goal fast break bottom centre,19,BRA,62,30,,19,,1,,bottom centre,fast break,,,bottom,centre,,,,,,,FALSE,-1,0,5,BRA,16,8:21,8:27,1 - 4,-3,6
1,NOR - BRA,M,8:41,521,1,SAGOSEN S Turnover,5,NOR,30,62,,,,0,,,,,,,,,,5,,,,TRUE,0,0,6,NOR,17,8:27,8:41,1 - 4,-3,14
1,NOR - BRA,M,8:41,521,1,PONCIANO T Steal,35,BRA,62,30,,,,0,,,,,,,,,,,,35,,FALSE,-1,0,5,NOR,17,8:27,8:41,1 - 4,-3,14
1,NOR - BRA,M,8:47,527,1,PONCIANO T Goal fast break top centre,35,BRA,62,30,,35,,1,,top centre,fast break,,,top,centre,,,,,,,FALSE,-1,0,5,BRA,18,8:41,8:47,1 - 5,-4,6
1,NOR - BRA,M,8:59,539,1,SAGOSEN S Turnover,5,NOR,30,62,,,,0,,,,,,,,,,5,,,,TRUE,0,0,6,NOR,19,8:47,8:59,1 - 5,-4,12
1,NOR - BRA,M,9:28,568,1,LANGARO H Shot centre 9m missed,37,BRA,62,30,,,37,0,,missed,centre 9m,,,,,,,,,,,FALSE,0,0,6,BRA,20,8:59,9:28,1 - 5,-4,29
1,NOR - BRA,M,10:10,610,1,REINKIND H Goal right 9m top right,27,NOR,30,62,,27,,1,,top right,right 9m,,,top,right,,,,,,,TRUE,0,0,6,NOR,21,9:28,10:10,2 - 5,-3,42
1,NOR - BRA,M,10:23,623,1,SILVA JP Shot centre 9m missed,4,BRA,62,30,,,4,0,,missed,centre 9m,,,,,,,,,,,FALSE,0,0,6,BRA,22,10:10,10:23,2 - 5,-3,13
1,NOR - BRA,M,11:14,674,1,SAGOSEN S Technical Fault,5,NOR,30,62,,,,0,,,,,,,,,,,5,,,TRUE,0,0,6,NOR,23,10:23,11:14,2 - 5,-3,51
1,NOR - BRA,M,12:00,720,1,LANGARO H Goal centre 9m bottom left,37,BRA,62,30,,37,,1,,bottom left,centre 9m,,,bottom,left,,,,,,,FALSE,0,0,6,BRA,24,11:14,12:00,2 - 6,-4,46
1,NOR - BRA,M,13:34,814,1,SAGOSEN S Shot centre 9m saved middle left,5,NOR,30,62,,,5,0,,middle left,centre 9m,,1,middle,left,,,,,,,TRUE,0,0,6,NOR,25,12:00,13:59,2 - 6,-4,119
1,NOR - BRA,M,13:59,839,1,FREDRIKSEN M 7m received,10,NOR,30,62,,,,0,,,,,,,,,10,,,,,TRUE,0,0,6,NOR,25,12:00,13:59,2 - 6,-4,119
1,NOR - BRA,M,13:59,839,1,SAGOSEN S Penalty shot post,5,NOR,30,62,,,5,0,,post,Penalty,1,,,,,,,,,,TRUE,0,0,6,NOR,25,12:00,13:59,2 - 6,-4,119
1,NOR - BRA,M,13:59,839,1,BORGES F 7m caused,18,BRA,62,30,,,,0,,,,,,,,18,,,,,,FALSE,0,0,6,NOR,25,12:00,13:59,2 - 6,-4,119
